,KEY_CODE,predicted_2021,predicted_2022,predicted_2023,predicted_2024
2097,0638202006,97,61,56,102
2098,0638202007,127,11,111,119
2099,0638202008,189,82,129,174
2100,0638202009,199,63,190,195
2101,0638202010,181,108,161,183
2102,0638202011,143,85,118,134
2103,0638202012,203,190,160,194
2104,0638202013,167,129,159,168
2105,0638202014,126,96,108,130
2106,0638202015,174,174,148,183
2107,0638202016,144,155,120,157
2108,0638202017,102,46,99,150
2109,0638202018,28,12,34,53
2110,0638202019,206,101,182,200
2111,0638202020,38,38,45,55
2112,0638202021,29,10,18,30
2113,0638202022,65,48,35,63
2114,0638202023,54,59,60,57
2115,0638202024,193,171,187,215
2116,0638202025,26,24,15,25
2117,0638202026,110,105,93,110
2118,0638202027,50,49,41,54
2119,0638203001,222,212,170,242
2120,0638203002,245,221,200,260
2121,0638203003,103,101,90,111
2122,0638203004,184,202,176,201
2123,0638203005,168,156,134,167
2124,0638203006,73,26,56,73
2125,0638203007,288,192,231,297
2126,0638203008,285,224,229,304
2127,0638203009,139,137,121,149
2128,0638203010,102,108,92,110
2129,0638203011,111,108,108,120
2130,0638203012,231,233,206,239
2131,0638203013,102,103,84,109
2132,0638203014,402,391,328,411
2133,0638204001,317,275,283,325
2134,0638204002,224,168,159,220
2135,0638204003,214,176,160,198
2136,0638204004,189,169,144,183
2137,0638204005,155,143,133,158
2138,0638204006,226,208,170,232
2139,0638204007,259,240,214,251
2140,0638204008,397,381,349,370
2141,0638204009,292,279,252,283
2142,0638204010,256,243,211,243
2143,0638204011,224,206,198,205
2144,0638204012,65,46,50,72
2145,0638204013,243,242,199,252
2146,0638204014,489,476,379,460
2147,0638204015,469,398,340,409
2148,0638204016,103,101,84,94
2149,0638204017,111,106,93,102
2150,0638204018,249,236,203,230
2151,0638204019,279,264,197,255
2152,0638204020,236,204,167,222
2153,0638204021,477,411,389,464
2154,0638204022,254,202,164,233
2155,0638205001,289,176,234,270
2156,0638205002,178,82,124,151
2157,0638205003,227,203,204,202
2158,0638205004,185,169,158,187
2159,0638205005,353,283,274,309
